id,commune,code_postal,niveau_prix,nombre_habitants_par_commune,annee_habitants,annee_consommation,consommation_totale,consommation_moyenne,gaz,created_at,updated_at
106,"Cormoranche-sur-Saône",01290,2,1064,2011,2024,1182.53379,11.9447857575758,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
107,"Cormoranche-sur-Saône",01290,2,1118,2016,2024,1182.53379,11.9447857575758,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
108,"Cormoranche-sur-Saône",01290,2,1165,2022,2024,1182.53379,11.9447857575758,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
109,Cormoz,01560,4,644,2011,2024,680.98192,11.7410675862069,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
110,Cormoz,01560,4,662,2016,2024,680.98192,11.7410675862069,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
111,Cormoz,01560,4,704,2022,2024,680.98192,11.7410675862069,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
112,"Bresse Vallons",01340,1,2107,2011,2024,3318.23813,10.4020004075235,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
113,"Bresse Vallons",01340,1,2263,2016,2024,3318.23813,10.4020004075235,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
114,"Bresse Vallons",01340,1,2393,2022,2024,3318.23813,10.4020004075235,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
115,Crottet,01750,2,1722,2011,2024,1460.51064,9.93544653061224,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
116,Crottet,01750,2,1734,2016,2024,1460.51064,9.93544653061224,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
117,Crottet,01750,2,1844,2022,2024,1460.51064,9.93544653061224,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
118,Crozet,01170,4,1913,2011,2024,3739.15417,11.262512560241,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
119,Crozet,01170,4,2126,2016,2024,3739.15417,11.262512560241,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
120,Crozet,01170,4,2354,2022,2024,3739.15417,11.262512560241,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
121,Dagneux,01120,1,4183,2011,2024,6226.56792,9.32120946107785,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
122,Dagneux,01120,1,4706,2016,2024,6226.56792,9.32120946107785,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
123,Dagneux,01120,1,4741,2022,2024,6226.56792,9.32120946107785,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
124,Divonne-les-Bains,01220,5,8388,2011,2024,23291.73114,17.4994223441022,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
125,Divonne-les-Bains,01220,5,9465,2016,2024,23291.73114,17.4994223441022,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
126,Divonne-les-Bains,01220,5,10300,2022,2024,23291.73114,17.4994223441022,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
127,Fareins,01480,1,2175,2011,2024,4454.39828,11.4804079381443,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
128,Fareins,01480,1,2203,2016,2024,4454.39828,11.4804079381443,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
129,Fareins,01480,1,2524,2022,2024,4454.39828,11.4804079381443,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
130,Feillens,01570,2,3108,2011,2024,7315.17651,11.1004195902883,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
131,Feillens,01570,2,3254,2016,2024,7315.17651,11.1004195902883,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
132,Feillens,01570,2,3388,2022,2024,7315.17651,11.1004195902883,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
133,Ferney-Voltaire,01210,2,8452,2011,2024,23553.82904,11.6257793879566,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
134,Ferney-Voltaire,01210,2,9637,2016,2024,23553.82904,11.6257793879566,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
135,Ferney-Voltaire,01210,2,11530,2022,2024,23553.82904,11.6257793879566,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
136,Francheleins,01090,2,1370,2011,2024,638.32148,9.82033046153846,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
137,Francheleins,01090,2,1574,2016,2024,638.32148,9.82033046153846,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
138,Francheleins,01090,2,1593,2022,2024,638.32148,9.82033046153846,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
139,Frans,01480,1,1974,2011,2024,4082.83924,9.38583733333333,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
140,Frans,01480,1,2334,2016,2024,4082.83924,9.38583733333333,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
141,Frans,01480,1,2547,2022,2024,4082.83924,9.38583733333333,Gaz,"2026-03-16 16:09:55","2026-03-16 16:09:55"
